Player,Age,Team,Pos,G,Att,Yds,TD,Long,Y/G,Fmb
Saquon Barkley,27,PHI,RB,16,345,2005,13,72,125.3,2
Derrick Henry,30,BAL,RB,17,325,1921,16,87,113.0,3
Bijan Robinson,22,ATL,RB,17,304,1456,14,37,85.6,1
Jonathan Taylor,25,IND,RB,14,303,1431,11,70,102.2,4
Jahmyr Gibbs,22,DET,RB,17,250,1412,16,70,83.1,1
Josh Jacobs,26,GNB,RB,17,301,1329,15,38,78.2,4
Kyren Williams,24,LAR,RB,16,316,1299,14,30,81.2,5
Chuba Hubbard,25,CAR,RB,15,250,1195,10,38,79.7,4
Aaron Jones,30,MIN,RB,17,255,1138,5,41,66.9,5
Bucky Irving,22,TAM,RB,17,207,1122,8,56,66.0,2
James Conner,29,ARI,RB,16,236,1094,8,53,68.4,4
Tony Pollard,27,TEN,RB,16,260,1079,5,41,67.4,2
Rico Dowdle,26,DAL,RB,16,235,1079,2,27,67.4,3
Najee Harris,26,PIT,RB,17,263,1043,6,36,61.4,0
Joe Mixon,28,HOU,RB,14,245,1016,11,59,72.6,0
James Cook,25,BUF,RB,16,207,1009,16,65,63.1,1
Chase Brown,24,CIN,RB,16,229,990,7,40,61.9,2
D'Andre Swift,25,CHI,RB,17,253,959,6,56,56.4,2
Alvin Kamara,29,NOR,RB,14,228,950,6,24,67.9,1
Lamar Jackson,27,BAL,QB,17,139,915,4,48,53.8,10
De'Von Achane,23,MIA,RB,17,203,907,6,61,53.4,1
J.K. Dobbins,26,LAC,RB,13,195,905,9,61,69.6,0
Jayden Daniels,24,WAS,QB,17,148,891,6,46,52.4,5
Breece Hall,23,NYJ,RB,16,209,876,5,42,54.8,6
Tyrone Tracy Jr.,25,NYG,RB,17,192,839,5,45,49.4,5
Rhamondre Stevenson,26,NWE,RB,15,207,801,7,33,53.4,7
Brian Robinson Jr.,25,WAS,RB,14,187,799,8,40,57.1,2
Jordan Mason,25,SFO,RB,12,153,789,3,38,65.8,3
David Montgomery,27,DET,RB,14,185,775,12,21,55.4,2
Tank Bigsby,23,JAX,RB,16,168,766,7,65,47.9,4
Kareem Hunt,29,KAN,RB,13,200,728,7,20,56.0,0
Tyler Allgeier,24,ATL,RB,17,137,644,3,25,37.9,0
Jalen Hurts,26,PHI,QB,15,150,630,14,35,42.0,9
Rachaad White,25,TAM,RB,16,144,613,3,56,38.3,3
Kenneth Walker III,24,SEA,RB,11,153,573,7,28,52.1,1
Kyler Murray,27,ARI,QB,17,78,572,5,50,33.6,8
Zach Charbonnet,23,SEA,RB,17,135,569,8,51,33.5,0
Jerome Ford,25,CLE,RB,14,104,565,3,66,40.4,0
Travis Etienne,25,JAX,RB,15,150,558,2,22,37.2,1
Antonio Gibson,26,NWE,RB,17,120,538,1,45,31.6,2
Josh Allen,28,BUF,QB,17,102,531,12,30,31.2,5
Javonte Williams,24,DEN,RB,17,139,513,4,20,30.2,2
Jaylen Warren,26,PIT,RB,15,120,511,1,22,34.1,2
Emanuel Wilson,25,GNB,RB,17,103,502,4,21,29.5,0
Anthony Richardson,22,IND,QB,11,86,499,6,29,45.4,9
Jaleel McLaughlin,24,DEN,RB,16,113,496,1,21,31.0,1
Caleb Williams,23,CHI,QB,17,81,489,0,24,28.8,10
Cam Akers,25,2TM,RB,17,104,444,2,58,26.1,1
Ray Davis,25,BUF,RB,17,113,442,3,23,26.0,0
Devin Singletary,27,NYG,RB,15,113,437,4,43,29.1,2
Bo Nix,24,DEN,QB,17,92,430,4,32,25.3,3
Drake Maye,22,NWE,QB,13,54,421,2,41,32.4,9
Alexander Mattison,26,LVR,RB,14,132,420,4,24,30.0,1
Isaac Guerendo,24,SFO,RB,16,84,420,4,76,26.3,3
Baker Mayfield,29,TAM,QB,17,60,378,3,28,22.2,13
Austin Ekeler,29,WAS,RB,12,77,367,4,50,30.6,3
Gus Edwards,29,LAC,RB,11,101,365,4,43,33.2,0
Braelon Allen,20,NYJ,RB,17,92,334,2,20,19.6,0
Nick Chubb,29,CLE,RB,8,102,332,3,19,41.5,1
Brock Purdy,25,SFO,QB,15,66,323,5,16,21.5,7
Tyjae Spears,23,TEN,RB,12,84,312,4,23,26.0,1
Ameer Abdullah,31,LVR,RB,16,66,311,2,40,19.4,2
Isiah Pacheco,25,KAN,RB,7,83,310,1,34,44.3,0
Audric Estime,21,DEN,RB,13,76,310,2,21,23.8,2
Sean Tucker,23,TAM,RB,17,50,308,2,36,18.1,1
Patrick Mahomes,29,KAN,QB,16,58,307,2,33,19.2,2
Justin Herbert,26,LAC,QB,17,69,306,2,41,18.0,6
Cam Akers,25,MIN,RB,12,64,297,1,58,24.8,0
Dameon Pierce,24,HOU,RB,11,40,293,2,92,26.6,1
Trey Benson,21,ARI,RB,13,63,291,1,20,22.4,1
Kenneth Gainwell,25,PHI,RB,17,75,290,1,20,17.1,0
Justin Fields,25,PIT,QB,10,62,289,5,30,28.9,6
Raheem Mostert,32,MIA,RB,13,85,278,2,21,21.4,2
Taysom Hill,34,NOR,TE,8,39,278,6,75,34.8,1
Geno Smith,34,SEA,QB,17,53,272,2,34,16.0,9
Daniel Jones,27,NYG,QB,10,67,265,2,24,26.5,4
Jeremy McNichols,29,WAS,RB,17,55,261,4,28,15.4,0
Jaylen Wright,21,MIA,RB,15,68,249,0,20,16.6,1
Bryce Young,23,CAR,QB,14,43,249,6,34,17.8,5
Zack Moss,27,CIN,RB,8,74,242,2,16,30.3,2
C.J. Stroud,23,HOU,QB,17,52,233,0,25,13.7,6
D'Onta Foreman,28,CLE,RB,11,71,232,0,25,21.1,2
Justice Hill,27,BAL,RB,15,47,228,1,51,15.2,0
Ezekiel Elliott,29,DAL,RB,15,74,226,3,11,15.1,1
Emari Demercado,25,ARI,RB,13,24,223,1,53,17.2,0
Ty Johnson,27,BUF,RB,17,41,213,1,19,12.5,0
Sam Darnold,27,MIN,QB,17,67,212,1,19,12.5,8
Blake Corum,24,LAR,RB,17,58,207,0,12,12.2,0
Miles Sanders,27,CAR,RB,11,55,205,2,26,18.6,1
Christian McCaffrey,28,SFO,RB,4,50,202,0,19,50.5,1
Joe Burrow,28,CIN,QB,17,42,201,2,47,11.8,11
Zamir White,25,LVR,RB,8,65,183,1,17,22.9,2
Carson Steele,22,KAN,RB,17,56,183,0,9,10.8,3
Will Levis,25,TEN,QB,12,45,183,0,21,15.3,10
Sincere McCormick,24,LVR,RB,5,39,183,0,29,36.6,0
Patrick Taylor,26,SFO,RB,13,39,183,1,29,14.1,0
Chris Brooks,24,GNB,RB,15,36,183,1,23,12.2,0
Ty Chandler,26,MIN,RB,17,56,182,0,25,10.7,0
Isaiah Davis,22,NYJ,RB,17,30,174,1,20,10.2,0
Chris Rodriguez,24,WAS,RB,9,35,173,2,25,19.2,0
Kenny McIntosh,24,SEA,RB,17,31,172,0,25,10.1,0
Jamaal Williams,29,NOR,RB,14,48,164,1,14,11.7,0
Jayden Reed,24,GNB,WR,17,20,163,1,33,9.6,3
Trey Sermon,25,IND,RB,17,56,159,2,17,9.4,0
Kimani Vidal,23,LAC,RB,10,43,155,0,19,15.5,1
Russell Wilson,36,PIT,QB,11,43,155,2,19,14.1,5
Tyler Goodson,24,IND,RB,16,32,153,1,33,9.6,0
Roschon Johnson,23,CHI,RB,14,55,150,6,9,10.7,0
Kendre Miller,22,NOR,RB,6,39,148,1,17,24.7,0
Deshaun Watson,29,CLE,QB,7,31,148,1,16,21.1,5
Cam Akers,25,HOU,RB,5,40,147,1,15,29.4,1
Spencer Rattler,24,NOR,QB,7,18,146,0,28,20.9,5
D'Ernest Johnson,28,JAX,RB,14,32,143,0,22,10.2,0
Craig Reynolds,28,DET,RB,17,31,139,0,19,8.2,1
Malik Willis,25,GNB,QB,7,20,138,1,29,19.7,1
Deebo Samuel,28,SFO,WR,15,42,136,1,13,9.1,2
Cordarrelle Patterson,33,PIT,RB,13,32,135,0,14,10.4,1
Tyler Huntley,26,MIA,QB,5,26,135,2,20,27.0,6
Drew Lock,28,NYG,QB,8,18,133,2,28,16.6,5
Michael Carter,25,ARI,RB,3,35,131,1,13,43.7,0
Khalil Herbert,26,2TM,RB,14,36,130,1,14,9.3,1
Dorian Thompson-Robinson,25,CLE,QB,7,21,122,0,34,17.4,3
Trevor Lawrence,25,JAX,QB,10,26,119,3,33,11.9,3
Khalil Herbert,26,CIN,RB,8,28,114,0,14,14.3,1
Dare Ogunbowale,30,HOU,RB,17,30,112,0,35,6.6,0
Pierre Strong,26,CLE,RB,14,26,108,0,19,7.7,0
Aaron Rodgers,41,NYJ,QB,17,22,107,0,18,6.3,5
Mason Rudolph,29,TEN,QB,8,25,106,1,14,13.3,5
Xavier Worthy,21,KAN,WR,17,20,104,3,21,6.1,0
Julius Chestnut,24,TEN,RB,17,22,102,0,12,6.0,0
Ronnie Rivers,25,LAR,RB,17,22,99,0,12,5.8,0
Mac Jones,26,JAX,QB,10,28,92,1,13,9.2,2
Samaje Perine,29,KAN,RB,17,20,92,1,13,5.4,0
Marcus Mariota,31,WAS,QB,3,18,92,1,33,30.7,0
KaVontae Turpin,28,DAL,WR,17,16,92,0,16,5.4,3
Hassan Haskins,25,LAC,RB,17,34,89,2,12,5.2,1
Tyler Badie,24,DEN,RB,3,11,86,0,43,28.7,1
Jordan Love,26,GNB,QB,15,25,83,1,14,5.5,4
Jameis Winston,30,CLE,QB,12,25,83,1,13,6.9,5
Will Shipley,22,PHI,RB,16,30,82,0,9,5.1,0
Raheem Blackshear,25,CAR,RB,16,15,80,0,26,5.0,2
Ray-Ray McCloud,28,ATL,WR,17,10,79,0,20,4.6,4
D.J. Moore,27,CHI,WR,17,14,75,0,14,4.4,1
Derek Carr,33,NOR,QB,10,17,71,1,13,7.1,3
Jordan Mims,25,NOR,RB,11,20,70,0,9,6.4,0
Deuce Vaughn,23,DAL,RB,7,17,70,0,12,10.0,0
CeeDee Lamb,25,DAL,WR,15,14,70,0,18,4.7,1
Jamycal Hasty,28,NWE,RB,15,20,69,0,15,4.6,0
Sterling Shepard,31,TAM,WR,14,8,69,0,24,4.9,0
Jacoby Brissett,32,NWE,QB,8,15,62,0,16,7.8,4
Jameson Williams,23,DET,WR,15,11,61,1,15,4.1,0
Gardner Minshew II,28,LVR,QB,10,19,58,0,11,5.8,6
Jeff Wilson,29,MIA,RB,9,16,57,0,14,6.3,0
Jared Goff,30,DET,QB,17,35,56,0,10,3.3,6
Zay Flowers,24,BAL,WR,17,9,56,0,19,3.3,0
Calvin Ridley,30,TEN,WR,17,8,55,1,19,3.2,1
Dak Prescott,31,DAL,QB,8,13,54,1,22,6.8,4
Bo Melton,25,GNB,WR,17,8,54,0,16,3.2,0
Tyreek Hill,30,MIA,WR,17,8,53,0,16,3.1,0
Mike Boone,29,CAR,RB,6,13,51,0,9,8.5,0
Tua Tagovailoa,26,MIA,QB,11,17,49,0,13,4.5,7
DeeJay Dallas,26,ARI,RB,17,9,49,0,22,2.9,1
Clyde Edwards-Helaire,25,NOR,RB,2,13,46,0,12,23.0,0
Puka Nacua,23,LAR,WR,11,11,46,1,9,4.2,0
J.J. Taylor,26,HOU,RB,5,10,44,0,9,8.8,0
Tre Tucker,23,LVR,WR,17,9,44,1,11,2.6,0
Tank Dell,25,HOU,WR,14,9,43,0,18,3.1,0
Marvin Mims,22,DEN,WR,17,13,42,0,17,2.5,1
Matthew Stafford,36,LAR,QB,16,30,41,0,15,2.6,6
Trey Lance,24,DAL,QB,4,11,41,0,11,10.3,0
Derius Davis,24,LAC,WR,15,12,39,0,10,2.6,3
Hunter Luepke,24,DAL,RB,16,12,38,0,10,2.4,0
Desmond Ridder,25,LVR,QB,6,9,36,0,11,6.0,3
Andy Dalton,37,CAR,QB,6,11,34,0,18,5.7,2
Terrell Jennings,23,NWE,RB,3,13,33,0,7,11.0,0
Jase McClellan,22,ATL,RB,2,13,32,0,8,16.0,0
Tommy DeVito,26,NYG,QB,3,8,32,0,17,10.7,0
Eric Gray,25,NYG,RB,17,14,31,0,6,1.8,3
Rasheen Ali,23,BAL,RB,6,10,31,0,9,5.2,0
Aidan O'Connell,26,LVR,QB,9,21,30,1,13,3.3,2
Keaton Mitchell,22,BAL,RB,5,15,30,0,7,6.0,0
Joe Flacco,39,IND,QB,8,9,26,0,21,3.3,4
Joshua Dobbs,29,SFO,QB,2,9,24,2,8,12.0,2
Xavier Legette,23,CAR,WR,16,6,24,0,8,1.5,0
Travis Homer,26,CHI,RB,10,6,23,0,6,2.3,0
Jake Haener,25,NOR,QB,8,11,22,0,9,2.8,0
Jonathon Brooks,21,CAR,RB,3,9,22,0,9,7.3,0
Jermar Jefferson,24,DET,RB,2,6,22,0,8,11.0,0
Dalvin Cook,29,DAL,RB,2,8,20,0,4,10.0,0
Cooper Rush,31,DAL,QB,12,26,18,0,9,1.5,9
Alec Ingold,28,MIA,FB,15,10,17,1,6,1.1,2
Khalil Herbert,26,CHI,RB,6,8,16,1,6,2.7,0
Joe Milton,24,NWE,QB,1,10,16,1,9,16.0,1
Kenny Pickett,26,PHI,QB,5,9,15,1,8,3.0,1
Michael Penix,24,ATL,QB,5,7,11,1,5,2.2,2
Michael Burton,32,DEN,FB,17,7,8,1,3,0.5,0
Mitchell Trubisky,30,BUF,QB,9,17,1,0,8,0.1,1
Kirk Cousins,36,ATL,QB,14,23,0,0,,0.0,13
Clayton Tune,25,ARI,QB,6,7,-4,0,2,-0.7,1
Tyson Bagent,24,CHI,QB,4,6,-7,0,,-1.8,0
